CustomerID,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Age,Under 30,Married,Number of Dependents,Referred a Friend,Number of Referrals,Offer,Avg Monthly Long Distance Charges,Internet Type,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming Music,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score
9236-NDUCW          ,0,0,0,0,21,0,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,0,Mailed check,35.1,770.4,0,2991,34,0,0,0,0,0,Offer D,0.0,DSL,4,0,1,0,1,0.0,0.0,0.0,770.4,4
1840-BIUOG          ,1,0,0,0,20,1,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,1,E- check,68.7,1416.2,0,2989,23,1,0,0,0,0,None,32.5,DSL,52,0,1,0,1,0.0,0.0,650.0,2066.2,3
2522-AHJXR          ,1,0,1,0,60,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Auto Bank transfer,109.45,6572.85,0,4350,36,0,1,0,1,6,None,4.59,Fiber Optic,9,1,1,1,1,0.0,0.0,275.4,6848.25,4
9418-RUKPH          ,0,0,1,1,38,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,756.4,0,3614,26,1,1,3,1,7,Offer C,49.9,None,0,0,0,0,0,0.0,0.0,1896.2,2652.6,4
1131-QQZEB          ,1,1,1,0,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Auto Bank transfer,23.95,1756.2,0,4329,66,0,1,0,1,7,Offer A,30.72,None,0,0,0,0,0,0.0,0.0,2181.12,3937.32,3
3794-NFNCH          ,1,0,1,0,30,1,No,DSL,No,No,Yes,No,No,No,Month-to-month,1,Mailed check,50.0,1474.9,0,4715,53,0,1,0,1,10,Offer C,23.16,DSL,6,1,0,0,1,0.0,0.0,694.8,2169.7,4
3049-SOLAY          ,0,0,1,0,3,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,E- check,95.2,292.85,1,4176,21,1,1,0,1,5,None,23.26,Fiber Optic,42,0,0,1,0,0.0,20.0,69.78,382.63,1
5997-OPVFA          ,1,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Auto Bank transfer,89.05,6254.45,0,6212,39,0,1,0,1,7,Offer A,6.05,Cable,30,1,1,1,1,0.0,0.0,435.6,6690.05,4
8189-XRIKE          ,0,1,0,0,32,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,E- check,90.95,2897.95,0,5936,80,0,0,0,0,0,Offer C,31.57,Fiber Optic,4,0,0,0,1,25.55,0.0,1010.24,3882.64,4
3221-CJMSG          ,1,0,0,0,24,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,1,Auto Credit card,51.1,1269.6,0,2515,45,0,0,0,0,0,None,2.33,DSL,2,0,1,0,1,0.0,0.0,55.92,1325.52,5
9207-ZPANB          ,1,0,0,0,37,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,E- check,67.45,2443.3,0,5042,42,0,0,0,0,0,Offer C,13.04,DSL,14,1,1,0,1,0.0,0.0,482.48,2925.78,3
2606-RMDHZ          ,1,0,0,0,6,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Auto Credit card,30.5,208.7,1,4667,47,0,0,0,0,0,Offer E,0.0,DSL,14,0,0,0,1,0.0,0.0,0.0,208.7,1
6418-HNFED          ,1,0,1,0,51,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Auto Credit card,83.25,4089.45,0,5340,33,0,1,0,1,1,Offer B,40.34,DSL,9,1,1,1,1,0.0,0.0,2057.34,6146.79,3
3870-MQAMG          ,0,0,1,0,54,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,0,E- check,110.35,5893.15,1,6189,21,1,1,0,1,1,Offer B,2.18,Fiber Optic,71,1,1,1,1,0.0,0.0,117.72,6010.87,1
9578-VRMNM          ,0,0,0,0,16,1,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Auto Credit card,65.2,1043.35,1,4722,48,0,0,0,0,0,None,47.45,DSL,30,1,0,1,1,0.0,0.0,759.2,1802.55,1
2796-UUZZO          ,1,0,1,1,63,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Auto Credit card,80.3,4896.35,0,5157,30,0,1,2,1,9,Offer B,18.88,Fiber Optic,48,1,0,0,0,0.0,40.0,1189.44,6125.79,4
1024-GUALD          ,0,0,1,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,E- check,24.8,24.8,1,4851,29,1,1,0,1,4,Offer E,0.0,DSL,29,0,0,1,1,0.0,0.0,0.0,24.8,1
8861-HGGKB          ,0,0,0,0,10,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,E- check,86.45,830.85,1,5699,57,0,0,0,0,0,None,17.65,Fiber Optic,20,0,0,1,1,0.0,0.0,176.5,1007.35,2
2731-GJRDG          ,0,0,0,0,32,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,1,Auto Bank transfer,109.55,3608.0,0,5076,55,0,0,0,0,0,None,4.61,Fiber Optic,12,1,1,1,1,0.0,0.0,147.52,3755.52,3
5712-PTIWW          ,1,0,0,0,2,1,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,1,E- check,79.85,152.45,1,3280,46,0,0,0,0,0,Offer E,16.14,Fiber Optic,2,1,1,0,1,0.0,0.0,32.28,184.73,2
7537-RBWEA          ,0,0,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,25.15,25.15,0,3513,19,1,0,0,0,0,None,0.0,Cable,52,0,0,0,1,0.0,0.0,0.0,25.15,5
1265-XTECC          ,0,1,1,0,68,1,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,1,Auto Credit card,96.55,6581.9,1,5957,68,0,1,0,1,5,None,1.98,Fiber Optic,19,0,0,0,1,0.0,0.0,134.64,6716.54,1
5845-BZZIB          ,1,0,1,1,35,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.1,655.3,0,4517,37,0,1,3,1,7,None,11.75,None,0,0,0,0,0,38.61,0.0,411.25,1027.94,3
5364-EVNIB          ,1,0,0,0,13,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,E- check,79.8,973.45,1,5067,61,0,0,0,0,0,None,30.88,Fiber Optic,3,1,0,0,1,0.0,0.0,401.44,1374.89,2
3130-ICDUP          ,0,0,0,1,2,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Auto Credit card,80.55,188.1,0,5346,56,0,0,1,0,0,None,5.3,Fiber Optic,11,0,0,0,1,0.0,0.0,10.6,198.7,4
9777-IQHWP          ,1,0,1,1,64,1,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,0,Auto Bank transfer,93.4,5822.3,0,6249,53,0,1,1,1,2,None,30.82,Fiber Optic,11,1,0,1,1,0.0,0.0,1972.48,7794.78,3
3920-HIHMQ          ,0,0,0,1,26,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,49.5,1265.65,0,4196,53,0,0,1,0,0,None,16.34,DSL,19,0,0,0,0,0.0,150.0,424.84,1840.49,5
2017-CCBLH          ,0,0,0,0,8,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.0,141.6,0,3087,55,0,0,0,0,0,None,23.46,None,0,0,0,0,0,0.0,0.0,187.68,329.28,3
9912-OMZDS          ,0,0,1,1,59,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,E- check,106.15,6256.2,0,5096,63,0,1,1,1,1,Offer B,35.23,Fiber Optic,19,1,0,1,1,0.0,0.0,2078.57,8334.77,5
4686-UXDML          ,0,0,0,0,21,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Auto Credit card,99.85,1992.55,0,2113,24,1,0,0,0,0,None,24.86,Fiber Optic,48,0,0,1,1,0.0,0.0,522.06,2514.61,3
6094-ZIVKX          ,0,0,0,0,68,1,No,DSL,Yes,No,Yes,No,No,No,One year,1,Auto Credit card,54.45,3674.95,0,6309,45,0,0,0,0,0,Offer A,17.41,Cable,27,1,0,0,1,0.0,0.0,1183.88,4858.83,4
5376-DEQCP          ,0,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,E- check,70.6,70.6,1,4063,48,0,0,0,0,0,None,27.12,Fiber Optic,23,0,0,0,1,0.0,0.0,27.12,97.72,3
8089-UZWLX          ,0,1,0,0,71,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,0,Auto Bank transfer,104.05,7413.55,0,4113,75,0,0,0,0,0,Offer A,47.86,Fiber Optic,16,1,0,0,1,0.0,0.0,3398.06,10811.61,5
9746-MDMBK          ,1,0,1,1,47,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,1,Auto Bank transfer,113.45,5317.8,0,3729,58,0,1,1,1,7,None,9.19,Fiber Optic,19,1,1,1,1,0.0,0.0,431.93,5749.73,3
6797-LNAQX          ,1,0,1,0,70,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,0,Auto Bank transfer,98.3,6859.5,1,4794,34,0,1,0,1,1,Offer A,29.59,Fiber Optic,3,0,0,1,0,0.0,20.0,2071.3,8950.8,2
4636-QRJKY          ,0,0,1,0,6,1,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,E- check,80.5,502.85,1,5032,64,0,1,0,1,1,None,36.12,Fiber Optic,23,0,1,0,1,0.0,0.0,216.72,719.57,3
9938-TKDGL          ,1,0,1,1,68,1,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,1,E- check,99.55,6668.0,0,4319,38,0,1,3,1,9,Offer A,38.75,Fiber Optic,28,0,1,1,1,0.0,0.0,2635.0,9303.0,3
5052-PNLOS          ,1,0,0,0,3,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Auto Bank transfer,105.35,323.25,1,3662,50,0,0,0,0,0,Offer E,13.83,Fiber Optic,14,1,0,1,1,0.0,0.0,41.49,364.74,3
3393-FMZPV          ,0,0,0,0,25,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,E- check,100.25,2387.75,1,2195,59,0,0,0,0,0,None,36.24,Fiber Optic,3,0,0,1,1,0.0,0.0,906.0,3293.75,1
3177-LASXD          ,0,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,E- check,71.35,71.35,1,2619,43,0,0,0,0,0,None,40.4,Cable,13,0,0,0,0,0.0,0.0,40.4,111.75,3
2560-PPCHE          ,0,0,0,0,65,1,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Auto Bank transfer,105.05,6744.25,0,5742,22,1,0,0,0,0,None,26.83,Fiber Optic,59,0,1,1,1,0.0,0.0,1743.95,8488.2,5
8097-VBQTZ          ,1,0,0,0,54,1,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Mailed check,69.9,3883.3,0,6092,61,0,0,0,0,0,Offer B,27.62,Cable,24,0,1,0,1,0.0,0.0,1491.48,5374.78,4
0336-PIKEI          ,1,1,1,0,72,1,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,0,Auto Bank transfer,74.4,5360.75,0,5590,69,0,1,0,1,7,Offer A,5.27,DSL,9,1,1,0,0,0.0,140.0,379.44,5880.19,4
3315-TOTBP          ,1,0,0,0,15,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,76.0,1130.85,1,4938,29,1,0,0,0,0,Offer D,44.86,Fiber Optic,52,0,0,1,1,0.0,0.0,672.9,1803.75,1
0655-RBDUG          ,1,0,0,0,7,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Auto Bank transfer,98.05,713.0,1,2561,32,0,0,0,0,0,Offer E,9.25,Fiber Optic,29,1,0,1,1,0.0,0.0,64.75,777.75,1
9110-HSGTV          ,0,0,0,0,69,1,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Auto Credit card,82.45,5555.3,0,4631,46,0,0,0,0,0,Offer A,25.73,DSL,22,1,1,1,1,15.38,0.0,1775.37,7315.29,3
6360-SVNWV          ,0,1,0,0,31,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Auto Credit card,73.55,2094.65,0,2057,72,0,0,0,0,0,None,47.48,Fiber Optic,8,0,0,0,1,0.0,0.0,1471.88,3566.53,3
6242-SGYTS          ,1,0,1,1,62,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,1,Auto Credit card,94.95,5791.85,0,4262,19,1,1,3,1,6,Offer B,15.76,Fiber Optic,59,0,0,1,1,0.0,0.0,977.12,6768.97,4
0727-BMPLR          ,0,1,0,0,55,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,E- check,100.0,5509.3,1,5679,66,0,0,0,0,0,None,37.38,Fiber Optic,7,1,0,1,0,0.0,100.0,2055.9,7665.2,3
3144-KMTWZ          ,1,0,1,0,71,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Auto Bank transfer,93.25,6669.45,0,6035,40,0,1,0,1,8,Offer A,26.56,Fiber Optic,7,1,0,1,0,0.0,90.0,1885.76,8645.21,4
6082-GLJIX          ,1,0,0,0,18,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.25,331.35,0,4769,50,0,0,0,0,0,Offer D,31.33,None,0,0,0,0,0,0.0,0.0,563.94,895.29,5
1212-GLHMD          ,1,0,0,0,3,1,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,86.05,244.85,0,2500,54,0,0,0,0,0,Offer E,18.26,Fiber Optic,29,0,0,1,1,0.0,0.0,54.78,299.63,4
6275-YDUVO          ,0,0,0,0,2,1,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,1,Mailed check,86.2,178.7,1,2969,62,0,0,0,0,0,Offer E,24.05,Fiber Optic,27,1,0,1,1,0.0,0.0,48.1,226.8,3
8168-UQWWF          ,0,0,0,1,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Auto Bank transfer,97.85,1105.4,1,5674,48,0,0,2,0,0,None,27.57,Cable,18,1,0,1,1,0.0,0.0,303.27,1408.67,3
2391-IPLOP          ,1,0,1,0,50,1,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,1,E- check,69.65,3442.15,0,4706,25,1,1,0,1,6,Offer B,14.32,Cable,58,1,1,0,1,0.0,0.0,716.0,4158.15,4
6738-ISCBM          ,1,0,0,0,44,0,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,1,E- check,54.0,2440.25,0,4256,55,0,0,0,0,0,None,0.0,Cable,17,1,0,1,1,5.47,0.0,0.0,2434.78,3
6784-XYJAE          ,0,0,0,0,36,1,Yes,DSL,No,No,Yes,No,No,No,One year,0,E- check,55.8,1941.5,0,4770,38,0,0,0,0,0,None,46.92,DSL,5,1,0,0,0,0.0,70.0,1689.12,3700.62,3
7601-DHFWZ          ,0,0,0,0,48,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Auto Credit card,24.0,1183.05,0,3948,54,0,0,0,0,0,Offer B,30.82,None,0,0,0,0,0,0.0,0.0,1479.36,2662.41,3
9862-KJTYK          ,1,0,0,1,19,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Auto Credit card,25.35,566.1,0,3072,19,1,0,2,0,0,Offer D,0.0,DSL,59,0,0,1,1,0.0,0.0,0.0,566.1,4
3213-VVOLG          ,1,0,1,1,0,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,25.35,0.0,0,2299,22,1,1,2,1,3,None,36.37,None,0,0,0,0,0,0.0,0.0,363.7,617.2,4
7855-DIWPO          ,0,0,0,0,21,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,E- check,68.65,1493.2,0,2006,60,0,0,0,0,0,Offer D,30.59,Fiber Optic,11,0,0,0,1,0.0,0.0,642.39,2135.59,5
0939-YAPAF          ,0,0,0,0,35,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,E- check,100.25,3527.6,1,2744,44,0,0,0,0,0,Offer C,10.49,Fiber Optic,17,1,0,1,1,0.0,0.0,367.15,3894.75,3
4189-NAKJS          ,1,0,0,0,26,1,Yes,DSL,No,No,No,No,No,No,One year,1,Auto Credit card,51.55,1295.4,0,3130,29,1,0,0,0,0,Offer C,24.67,Cable,59,0,0,0,1,0.0,0.0,641.42,1936.82,3
3563-SVYLG          ,1,0,1,1,68,1,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Auto Credit card,62.65,4375.8,0,5215,38,0,1,1,1,4,Offer A,36.51,DSL,24,1,1,0,1,0.0,0.0,2482.68,6858.48,3
4013-TLDHQ          ,1,0,0,0,19,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,E- check,78.25,1490.95,1,3666,59,0,0,0,0,0,Offer D,20.26,Fiber Optic,25,1,0,0,1,0.0,0.0,384.94,1875.89,1
7711-GQBZC          ,0,0,1,1,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Auto Bank transfer,24.7,1810.55,0,5187,42,0,1,1,1,1,None,19.49,None,0,0,0,0,0,0.0,0.0,1383.79,3194.34,4
4611-ANLQC          ,0,0,1,0,60,0,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,One year,0,E- check,50.05,2911.5,0,5493,31,0,1,0,1,7,Offer B,0.0,Cable,4,1,0,1,1,0.0,0.0,0.0,2911.5,3
2040-LDIWQ          ,1,0,1,0,65,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Auto Bank transfer,84.2,5324.5,0,5256,51,0,1,0,1,8,Offer B,41.57,DSL,16,1,1,1,1,0.0,0.0,2702.05,8026.55,5
9804-ICWBG          ,1,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,E- check,69.9,69.9,1,3349,56,0,0,0,0,0,None,45.5,Fiber Optic,12,0,0,0,1,0.0,0.0,45.5,115.4,2
0365-BZUWY          ,1,0,1,0,17,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,E- check,102.55,1742.5,0,3803,58,0,1,0,1,2,Offer D,10.11,Fiber Optic,2,1,0,1,1,0.0,0.0,171.87,1914.37,5
8853-TZDGH          ,0,0,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Auto Bank transfer,111.6,8012.75,0,5425,42,0,0,0,0,0,None,24.19,Fiber Optic,13,1,1,1,1,0.0,0.0,1741.68,9754.43,5
0410-IPFTY          ,0,0,1,0,31,1,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Auto Bank transfer,83.85,2674.15,0,4283,64,0,1,0,1,1,Offer C,12.03,Fiber Optic,9,0,0,1,1,11.37,0.0,372.93,3035.71,3
4452-ROHMO          ,0,0,0,0,15,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.6,331.6,0,2722,64,0,0,0,0,0,Offer D,39.49,None,0,0,0,0,0,0.0,0.0,592.35,923.95,3
8180-AKMJV          ,0,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Auto Credit card,44.55,44.55,0,5825,27,1,0,0,0,0,Offer E,23.04,Cable,82,0,0,0,1,0.0,0.0,23.04,67.59,5
9640-ZSLDC          ,0,0,1,1,53,1,No,DSL,No,No,Yes,No,No,Yes,One year,0,Auto Credit card,60.6,3297.0,0,4854,29,1,1,5,1,3,None,31.99,DSL,59,1,0,1,1,0.0,0.0,1695.47,4992.47,4
2923-ARZLG          ,1,0,1,1,0,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Mailed check,19.7,0.0,0,4890,38,0,1,2,1,5,Offer E,46.23,None,0,0,0,0,0,0.0,0.0,462.3,659.84,5
7312-XSBAT          ,1,0,0,0,1,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,E- check,49.75,49.75,0,2908,47,0,0,0,0,0,Offer E,41.79,DSL,14,0,0,0,1,0.0,0.0,41.79,91.54,4
3349-ANQNH          ,0,1,0,0,59,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,E- check,99.5,5890.0,0,5513,70,0,0,0,0,0,None,24.27,Fiber Optic,9,1,0,1,1,0.0,0.0,1431.93,7321.93,5
5122-CYFXA          ,0,0,0,0,3,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,E- check,75.3,244.1,0,5387,53,0,0,0,0,0,Offer E,38.99,DSL,20,0,1,1,1,0.0,0.0,116.97,361.07,3
7054-LGEQW          ,0,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,45.95,45.95,1,4888,23,1,0,0,0,0,Offer E,5.12,DSL,30,0,0,1,1,0.0,0.0,5.12,51.07,2
4484-CGXFK          ,0,0,0,0,3,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,1,E- check,55.3,196.15,1,3190,45,0,0,0,0,0,None,25.96,DSL,7,0,0,1,1,0.0,0.0,77.88,274.03,1
7049-GKVZY          ,0,0,0,0,17,1,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,0,Auto Credit card,79.85,1387.35,0,5574,45,0,0,0,0,0,None,12.69,Cable,22,0,1,1,1,0.0,0.0,215.73,1603.08,3
9351-LZYGF          ,0,0,1,0,42,1,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,1,Auto Credit card,66.4,2727.8,0,3773,56,0,1,0,1,4,None,36.35,DSL,30,0,1,0,1,0.0,0.0,1526.7,4254.5,3
4607-CHPCA          ,1,0,1,0,25,1,No,Fiber optic,No,No,No,No,Yes,Yes,One year,1,E- check,90.4,2178.6,1,5801,63,0,1,0,1,1,None,35.27,Fiber Optic,4,0,0,1,0,0.0,140.0,881.75,3200.35,3
3023-GFLBR          ,0,0,1,0,33,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Auto Credit card,86.15,2745.7,1,3336,63,0,1,0,1,1,None,14.34,Fiber Optic,28,0,0,1,1,0.0,0.0,473.22,3218.92,2
4390-KYULV          ,1,0,1,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Auto Credit card,20.55,51.15,1,4115,41,0,1,0,1,1,Offer E,37.61,None,0,0,0,0,0,0.0,0.0,112.83,163.98,1
4530-NDRKU          ,0,0,1,1,42,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,E- check,19.05,761.85,0,5091,31,0,1,3,1,4,None,34.66,None,0,0,0,0,0,0.0,0.0,1455.72,2217.57,4
3850-OKINF          ,1,0,1,1,71,1,Yes,DSL,Yes,No,No,No,Yes,No,One year,1,E- check,66.2,4692.55,0,4756,42,0,1,3,0,0,Offer A,37.03,DSL,26,0,0,0,1,0.0,0.0,2629.13,7321.68,3
1407-DIGZV          ,0,0,1,1,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.1,52.0,0,3863,32,0,1,2,1,9,None,45.33,None,0,0,0,0,0,0.0,0.0,135.99,187.99,5
8118-LSUEL          ,1,1,0,0,23,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,E- check,106.4,2483.5,1,5507,74,0,0,0,0,0,None,17.62,Fiber Optic,29,1,0,0,1,0.0,0.0,405.26,2888.76,1
2446-PLQVO          ,1,0,0,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,E- check,70.3,70.3,1,4512,32,0,0,0,0,0,Offer E,5.67,Fiber Optic,7,0,0,0,1,0.0,0.0,5.67,75.97,2
